s,D0_U5.87_F_6mA,D0_U9.A8_F_6mA,D0_U1.AA17_F_6mA,D0_U8.G3_F_6mA
1.34E-08,2.626564026,2.519973755,2.624916553,2.644442558
1.34E-08,2.637570143,2.532130003,2.62359786,2.643877506
1.35E-08,2.715492964,2.6455791,2.610684395,2.63819313
1.35E-08,2.726625204,2.661184549,2.608839512,2.637381077
1.36E-08,2.786933661,2.766519547,2.599137545,2.634801149
1.36E-08,2.798101902,2.783497334,2.597340822,2.634323359
1.37E-08,2.852950096,2.871781826,2.597028971,2.637815237
1.37E-08,2.865607023,2.888310909,2.596956968,2.638621092
1.38E-08,2.923463106,2.957184553,2.607478857,2.646346569
1.38E-08,2.939662695,2.967900753,2.610424995,2.648509741
1.39E-08,3.001250744,3.004641533,2.627992153,2.656427383
1.39E-08,3.021779776,3.004130363,2.633847713,2.659066439
1.40E-08,3.07746172,3.002660275,2.653005838,2.665610313
1.40E-08,3.099249601,2.992258549,2.660502195,2.668170929
1.41E-08,3.132220268,2.966831446,2.679914951,2.674848795
1.41E-08,3.14720726,2.954200506,2.688739061,2.67788434
1.42E-08,3.143860817,2.927676439,2.70804286,2.684924126
1.42E-08,3.142107725,2.918908596,2.718154669,2.688611746
1.43E-08,3.100746393,2.902967215,2.734376907,2.69420886
1.43E-08,3.075929403,2.895793915,2.744110107,2.697566986
1.44E-08,3.007654428,2.884436131,2.755125523,2.699311972
1.44E-08,2.960940361,2.872960329,2.762662411,2.700505972
1.45E-08,2.882959127,2.857070446,2.769095659,2.70065999
1.45E-08,2.822307348,2.839099646,2.77409935,2.700779676
1.46E-08,2.751322508,2.817277908,2.778074503,2.700973749
1.46E-08,2.688688993,2.79143548,2.781581879,2.701144934
1.47E-08,2.636116028,2.763869762,2.783730507,2.70128274
1.47E-08,2.583544016,2.726150513,2.785879135,2.701420546
1.48E-08,2.55270505,2.690788269,2.78469348,2.70144248
1.48E-08,2.517753601,2.639276743,2.783349514,2.701467276
1.49E-08,2.503504038,2.596856594,2.778306961,2.701412201
1.50E-08,2.485182762,2.539772272,2.771823883,2.701341391
1.50E-08,2.477818251,2.498543739,2.764198542,2.701252222
1.51E-08,2.467055082,2.453644514,2.753053665,2.701121807
1.51E-08,2.458607435,2.425286531,2.744143724,2.700995445
1.52E-08,2.444528103,2.406473637,2.7292943,2.700784683
1.52E-08,2.433036804,2.396126509,2.719742537,2.700617313
1.53E-08,2.411098957,2.403721571,2.70150733,2.700298071
1.53E-08,2.399971247,2.407338381,2.691919088,2.698884964
1.54E-08,2.375489712,2.433716059,2.670824766,2.695775986
1.54E-08,2.369971752,2.444506884,2.662643433,2.693250656
1.55E-08,2.355870485,2.482432604,2.641735315,2.686797142
1.55E-08,2.359623671,2.49562335,2.636221886,2.685116053
1.56E-08,2.370883703,2.538268089,2.619680882,2.680072546
1.56E-08,2.384159088,2.550706625,2.616700411,2.679011106
1.57E-08,2.431568861,2.587367058,2.60605669,2.67522049
1.57E-08,2.450897694,2.596165419,2.604767084,2.674343586
1.58E-08,2.534659147,2.618579149,2.599179029,2.670542955
1.58E-08,2.55430603,2.62288928,2.598908901,2.66987133
1.59E-08,2.660397768,2.636594534,2.597450495,2.666244984
1.59E-08,2.675272226,2.638624907,2.597892284,2.665898561
1.60E-08,2.77939105,2.660185337,2.600985289,2.663473129
1.60E-08,2.787493467,2.662495136,2.601753712,2.663341999
1.61E-08,2.865824938,2.704020739,2.609183788,2.662075281
1.61E-08,2.86847949,2.706885099,2.609855413,2.662030458
1.62E-08,2.908291817,2.76584506,2.619926691,2.661360025
1.62E-08,2.908409834,2.767810106,2.620318174,2.661387444
1.63E-08,2.912067413,2.831253052,2.632457495,2.662240982
1.64E-08,2.894365311,2.884174109,2.64781785,2.666327477
1.64E-08,2.893794298,2.88519454,2.648313284,2.666459322
1.65E-08,2.874386549,2.915814638,2.667521477,2.673601151
1.65E-08,2.87309289,2.915819168,2.668801785,2.674077272
1.66E-08,2.864740372,2.915885448,2.690205336,2.682129145
1.66E-08,2.863876343,2.912468672,2.692419767,2.682962179
1.67E-08,2.867150068,2.880581856,2.712580442,2.689961672
1.67E-08,2.867617607,2.872785807,2.7154603,2.690961361
1.68E-08,2.871640444,2.820155382,2.731889248,2.696464062
1.68E-08,2.872385263,2.809777021,2.734931469,2.697483063
1.69E-08,2.862084627,2.755809784,2.746702433,2.699894667
1.70E-08,2.859707355,2.746179104,2.749418974,2.700451374
1.70E-08,2.825438023,2.706054449,2.755780697,2.700498581
1.71E-08,2.815842867,2.699348211,2.757561922,2.700511694
1.71E-08,2.759083509,2.67635417,2.757985353,2.700489998
1.72E-08,2.740163326,2.672405243,2.758126497,2.700482845
1.72E-08,2.672576904,2.661052704,2.753601551,2.700449705
1.73E-08,2.646129847,2.658349991,2.751831055,2.700436592
1.73E-08,2.583912134,2.651743412,2.744934559,2.700434685
1.74E-08,2.555631161,2.648272038,2.741799831,2.700433969
1.74E-08,2.51301527,2.640982151,2.734633923,2.700440645
1.75E-08,2.490693331,2.634018421,2.730880499,2.700443983
1.75E-08,2.474728346,2.621356964,2.7239573,2.700408459
1.76E-08,2.465149164,2.60878396,2.719803333,2.700387001
1.76E-08,2.473316431,2.588877916,2.712647915,2.700294018
1.77E-08,2.478904724,2.57254982,2.707751751,2.70023036
1.77E-08,2.500864983,2.54994154,2.700305223,2.699277639
1.78E-08,2.51794529,2.53672266,2.694513559,2.698536634
1.78E-08,2.5411129,2.520671368,2.687174082,2.695977926
1.79E-08,2.561555386,2.51875639,2.680697918,2.693720102
1.80E-08,2.57721591,2.516713858,2.673704147,2.69068718
1.80E-08,2.592875719,2.529993773,2.666710377,2.687654495
1.81E-08,2.599335194,2.542443752,2.660200119,2.68460536
1.81E-08,2.606656313,2.568482161,2.652821779,2.681149483
1.82E-08,2.608084917,2.589925289,2.647474766,2.678747177
1.82E-08,2.609921455,2.622854948,2.640600204,2.675658464
1.83E-08,2.612735271,2.646638393,2.63741374,2.674472332
1.83E-08,2.616847992,2.679588318,2.63275671,2.672738552
1.84E-08,2.625966549,2.70039916,2.632222176,2.672677994
1.84E-08,2.641163826,2.725923538,2.631331205,2.672577143
1.85E-08,2.657574415,2.739961624,2.63292098,2.673041582
1.85E-08,2.68890357,2.752182484,2.635955811,2.673928022
1.86E-08,2.709268093,2.758002043,2.638687611,2.674461126
1.86E-08,2.754070997,2.7568295,2.644697666,2.675633669
1.87E-08,2.772595644,2.756349802,2.647814512,2.676137686
1.87E-08,2.819936275,2.749196768,2.655780077,2.677425861
1.88E-08,2.831529379,2.74670887,2.658777237,2.677886486
1.88E-08,2.86631012,2.743860483,2.667768717,2.679268122
1.89E-08,2.869114399,2.743029594,2.67026782,2.67963171
1.90E-08,2.879129171,2.750079155,2.679193258,2.680930138
1.90E-08,2.874930859,2.751770973,2.681024075,2.681225777
1.91E-08,2.856737852,2.766777754,2.688958168,2.682507277
1.91E-08,2.849421978,2.769663572,2.690252781,2.682864428
1.92E-08,2.809917212,2.785714388,2.697244167,2.684793234
1.92E-08,2.803255558,2.788092375,2.698244333,2.685254097
1.93E-08,2.756624937,2.796612501,2.705244541,2.688480616
1.93E-08,2.752654552,2.797525167,2.706019163,2.688917398
1.94E-08,2.714268684,2.79030323,2.713508606,2.69314003
1.94E-08,2.712907314,2.789805174,2.713990688,2.693412066
1.95E-08,2.692489386,2.761841774,2.721220732,2.697493315
1.95E-08,2.692389488,2.760909796,2.721397161,2.697577953
1.96E-08,2.6892941,2.714893818,2.726865053,2.700201988
1.97E-08,2.692691565,2.664383411,2.72917366,2.700230837
1.97E-08,2.692801237,2.663095951,2.729248047,2.700231791
1.98E-08,2.68845129,2.624468327,2.727787018,2.700182915
1.98E-08,2.688161373,2.623175383,2.727689743,2.700179577
1.99E-08,2.668011427,2.604426384,2.722418308,2.699260712
1.99E-08,2.665926695,2.604436874,2.721873045,2.699165583
2.00E-08,2.631971121,2.604535341,2.713679314,2.696603298
2.00E-08,2.627120256,2.606371164,2.712508678,2.696237326
2.01E-08,2.589793682,2.618762493,2.703195095,2.693764925
2.01E-08,2.582881451,2.621816158,2.701470375,2.693307161
2.02E-08,2.555758715,2.637695313,2.692959785,2.691684008
2.02E-08,2.549499273,2.640305281,2.690995693,2.691309452
2.03E-08,2.542932987,2.651179075,2.684362173,2.690371275
2.03E-08,2.541094542,2.651515007,2.682504892,2.690108538
2.04E-08,2.55745554,2.652667284,2.677784443,2.689306021
2.04E-08,2.562909365,2.650188446,2.67621088,2.689038515
2.05E-08,2.595650434,2.643061876,2.672983885,2.688034058
2.05E-08,2.608462095,2.639537334,2.67172122,2.687640905
2.06E-08,2.645432949,2.630922318,2.669466972,2.686334133
2.06E-08,2.662237883,2.629825354,2.668442249,2.685740232
2.07E-08,2.691504478,2.627521515,2.666656733,2.684156656
2.07E-08,2.706834078,2.631955862,2.665721416,2.683327198
2.08E-08,2.721756458,2.640018225,2.664140224,2.68168354
2.08E-08,2.730709553,2.650978088,2.663191557,2.680697203
2.09E-08,2.73189044,2.668331623,2.662008524,2.679452181
2.10E-08,2.732698441,2.684117317,2.661199093,2.678600311
2.10E-08,2.726405144,2.705974102,2.661048174,2.678229809
2.11E-08,2.721510172,2.72253871,2.660930634,2.677941561
2.11E-08,2.715861082,2.742652416,2.662344217,2.678548336
2.12E-08,2.710876703,2.754747152,2.663591385,2.679083586
2.12E-08,2.71173358,2.767648458,2.666519165,2.680336237
2.13E-08,2.712590218,2.770796299,2.669446707,2.68158865
2.13E-08,2.720991373,2.773747206,2.673316956,2.683013439
2.14E-08,2.730512857,2.76669836,2.677703142,2.684628248
2.14E-08,2.742732763,2.760893345,2.681739807,2.685863018
2.15E-08,2.758443832,2.746880054,2.686929703,2.687450647
2.15E-08,2.768473625,2.736759186,2.690433979,2.688302994
2.16E-08,2.783132315,2.722012758,2.695555687,2.689548969
2.16E-08,2.786055326,2.712699413,2.698040962,2.689972162
2.17E-08,2.79092741,2.703183413,2.702183485,2.690677643
2.17E-08,2.785309076,2.697949886,2.703477144,2.690784693
2.18E-08,2.774582863,2.696487188,2.705947161,2.690989017
2.18E-08,2.762793541,2.695790529,2.706302404,2.691017866
2.19E-08,2.736856461,2.700993538,2.707083941,2.691081524
2.19E-08,2.723514795,2.703122139,2.706973791,2.691231489
2.20E-08,2.689419508,2.71006465,2.706692457,2.691614628
2.20E-08,2.679010153,2.712479353,2.706508875,2.691910982
